time,average_trust,cooperation_rate
0,0.4957894736842105,0.26194638694638694
1,0.4876315789473684,0.26194638694638694
2,0.48157894736842105,0.26194638694638694
3,0.4768421052631579,0.26194638694638694
4,0.46921052631578947,0.26194638694638694
5,0.46473684210526317,0.26194638694638694
6,0.4563157894736842,0.26194638694638694
7,0.4502631578947368,0.26194638694638694
8,0.44921052631578945,0.26194638694638694
9,0.44394736842105265,0.26194638694638694
10,0.43657894736842107,0.26194638694638694
11,0.4294736842105263,0.26194638694638694
12,0.42236842105263156,0.26194638694638694
13,0.4147368421052631,0.26194638694638694
14,0.4089473684210526,0.26194638694638694
15,0.40605263157894733,0.26194638694638694
16,0.39842105263157895,0.26194638694638694
17,0.3963157894736842,0.26194638694638694
18,0.39289473684210524,0.26194638694638694
19,0.3807894736842105,0.26194638694638694
20,0.3681578947368421,0.26194638694638694
21,0.36684210526315786,0.26194638694638694
22,0.365,0.26194638694638694
23,0.36236842105263156,0.26194638694638694
24,0.3576315789473684,0.26194638694638694
25,0.34921052631578947,0.26194638694638694
26,0.3455263157894737,0.26194638694638694
27,0.3444736842105263,0.26194638694638694
28,0.3405263157894737,0.26194638694638694
29,0.3352631578947368,0.26194638694638694
30,0.3268421052631579,0.26194638694638694
31,0.32105263157894737,0.26194638694638694
32,0.3181578947368421,0.26194638694638694
33,0.3139473684210526,0.26194638694638694
34,0.3063157894736842,0.26194638694638694
35,0.30105263157894735,0.26194638694638694
36,0.29894736842105263,0.26194638694638694
37,0.2918421052631579,0.26194638694638694
38,0.28657894736842104,0.26194638694638694
39,0.28157894736842104,0.26194638694638694
40,0.2789473684210526,0.26194638694638694
41,0.27578947368421053,0.26194638694638694
42,0.27368421052631575,0.26194638694638694
43,0.27052631578947367,0.26194638694638694
44,0.26710526315789473,0.26194638694638694
45,0.266578947368421,0.26194638694638694
46,0.2668421052631579,0.26194638694638694
47,0.2652631578947368,0.26194638694638694
48,0.26421052631578945,0.26194638694638694
49,0.2657894736842105,0.26194638694638694
50,0.2660526315789474,0.26194638694638694
51,0.2676315789473684,0.26194638694638694
52,0.26789473684210524,0.26194638694638694
53,0.2676315789473684,0.26194638694638694
54,0.26710526315789473,0.26194638694638694
55,0.2639473684210526,0.26194638694638694
56,0.2636842105263158,0.26194638694638694
57,0.25973684210526315,0.26194638694638694
58,0.2594736842105263,0.26194638694638694
59,0.26,0.26194638694638694
60,0.2613157894736842,0.26194638694638694
61,0.25842105263157894,0.26194638694638694
62,0.2573684210526316,0.26194638694638694
63,0.256578947368421,0.26194638694638694
64,0.2544736842105263,0.26194638694638694
65,0.2531578947368421,0.26194638694638694
66,0.2523684210526316,0.26194638694638694
67,0.2531578947368421,0.26194638694638694
68,0.2513157894736842,0.26194638694638694
69,0.24973684210526315,0.26194638694638694
70,0.24868421052631579,0.26194638694638694
71,0.24736842105263157,0.26194638694638694
72,0.2468421052631579,0.26194638694638694
73,0.24710526315789474,0.26194638694638694
74,0.24657894736842104,0.26194638694638694
75,0.24394736842105263,0.26194638694638694
76,0.24394736842105263,0.26194638694638694
77,0.2468421052631579,0.26194638694638694
78,0.24868421052631579,0.26194638694638694
79,0.25026315789473685,0.26194638694638694
80,0.25,0.26194638694638694
81,0.24921052631578947,0.26194638694638694
82,0.24868421052631579,0.26194638694638694
83,0.24842105263157893,0.26194638694638694
84,0.24842105263157893,0.26194638694638694
85,0.2468421052631579,0.26194638694638694
86,0.2463157894736842,0.26194638694638694
87,0.24710526315789474,0.26194638694638694
88,0.24736842105263157,0.26194638694638694
89,0.24789473684210525,0.26194638694638694
90,0.24894736842105264,0.26194638694638694
91,0.24894736842105264,0.26194638694638694
92,0.24921052631578947,0.26194638694638694
93,0.24973684210526315,0.26194638694638694
94,0.24894736842105264,0.26194638694638694
95,0.24605263157894736,0.26194638694638694
96,0.24710526315789474,0.26194638694638694
